topic_id	initial request	predicted_clarification_need
201	I would like to know more about raspberry pi	3
202	Give me information on uss carl vinson.	2
204	What is most importan rule of golf	2
206	I'm looking for wind power	3
207	Tell me about bph treatment	4
208	tell me more about Doctor Zhivago	4
209	I'm interested to know about land surveyor	4
210	golf gps	3
212	Tell me about home theater systems.	4
213	I'm looking for information on carpal tunnel syndrome	3
215	Info on maryland department of natural resources	3
216	which are famous movies where Nicolas Cage appeared?	3
218	Tell me information about solar water fountains.	4
220	I'm interested in NBA records	3
222	I'm looking for information on male menopause	3
225	I'm looking for black and gold.	3
226	Tell me about traverse city.	4
230	tell me about world's biggest dog	4
233	Tell me about hair dye.	4
235	How do you get a ham radio license?	1
237	Find me information about a lump in the throat.	4
242	cannellini beans	3
243	Find information about afghanistan flag	4
244	old town scottsdale	3
245	roosevelt island	3
247	Tell me about rain main.	4
248	What is the shelf life of an egg?	2
249	What is an occupational therapist?	2
253	What treatments are available for a tooth abscess?	3
254	Tell me about barrett's esophagus	4
255	Tell me about teddy bears.	4
257	Find information about holes by louis sachar	4
258	Find information on hip roof	3
259	What is special about Carpenter bees?	2
260	Tell me about american revolution.	4
265	What were the worst tornadoes in the USA?	3
267	What are the lyrics to feliz navidad?	3
268	What are the benefits of running?	3
269	Find information about marshall county schools.	3
270	I'm interested in sun tzu	4
271	Tell me about halloween activities for middle school	2
272	How can I interpret my dreams	3
273	Give me information on wilson's disease.	2
274	Find information on golf instruction.	3
275	Tell me about USS Cole.	3
276	how has african american music influence history	3
277	What is bewitched cast?	2
278	Find information about mister rogers	4
279	Tell me about game theory.	4
281	What is a ketogenic diet?	2
282	Tell me about nasa interplanetary missions	4
285	I'm interested in magnesium rich foods	3
288	I'm interested in Fidel Castro	3
289	tell me about benefits of yoga	2
290	Tell me about norway spruce.	4
291	tell me about sangre de cristo mountains	4
294	tell me more flowering plants	4
297	Tell me about altitude sickness.	4
298	I'm interested in the topic of medical care and jehovah's witnesses	3
299	What is pink slime in ground beef	2
300	How to compute the mean of a set of numbers	2
